Diffusion2D-PT-D05N050; bdd-sat; 2; 1.073789; 17529515713716297728
Diffusion2D-PT-D40N100; otf-ldd-sat; 16; 1200; -1
DrinkVendingMachine-PT-02; ldd-sat; 8; 0.018928; 1024
Eratosthenes-PT-020-rf; ldd-sat; 4; 0.015838; 2048
ERK-PT-000010-rf; ldd-par; 4; 0.067955; 47047
DLCshifumi-PT-3a; ldd-sat; 2; 5.328292; 909543680129861121854952418970697728
RwMutex-PT-r0010w2000; otf-ldd-sat; 4; 181.62; 3024
BridgeAndVehicles-PT-V04P05N02-rf; bdd-sat; 1; 0.025426; 2874
BridgeAndVehicles-PT-V20P20N10-rf; bdd-sat; 1; 1.932841; 6732570
GlobalResAllocation-PT-03-rf; ldd-chaining; 8; 0.413776; 6320
AirplaneLD-PT-4000; otf-ldd-sat; 16; 1200; -1
SwimmingPool-PT-07; ldd-sat; 1; 1800; -1
Parking-PT-832; otf-ldd-sat; 1; 1200; -1
GPPP-PT-C0001N0000000100; rf-otf-ldd-sat; 8; 0.93; 145476966
DNAwalker-PT-11ringRR; rf-otf-ldd-sat; 16; 0.68; 28209796
CloudDeployment-PT-5a-rf; bdd-sat; 8; 0.230291; 248829948
AirplaneLD-PT-0050; rf-otf-ldd-sat; 4; 0.44; 4471223
ERK-PT-000001; otf-ldd-sat; 4; 0.01; 13
CSRepetitions-PT-10; rf-otf-ldd-sat; 4; 1200; -1
IOTPpurchase-PT-C01M01P01D01; ldd-par; 1; 0.053476; 204
DNAwalker-PT-04track28LL; rf-otf-ldd-sat; 1; 0.64; 432884827
DES-PT-50a; bdd-sat; 8; 6.665886; 56112812515045
TCPcondis-PT-10; ldd-sat; 4; 121.31448; 13761971603
SwimmingPool-PT-01; rf-otf-ldd-sat; 16; 0.32; 89621
DNAwalker-PT-09ringLR-rf; ldd-chaining; 1; 4.434798; 28209796
Kanban-PT-0020-rf; ldd-sat; 16; 1.160289; 805422366595
ERK-PT-000010-rf; mdd-sat; 1; 0.053403; 47047
QuasiCertifProtocol-PT-18; rf-otf-ldd-sat; 4; 1200; -1
Diffusion2D-PT-D50N150; otf-ldd-sat; 4; 1200; -1
BridgeAndVehicles-PT-V20P20N10; bdd-sat; 16; 15.562429; 6732570
DNAwalker-PT-17redondantChoiceL-rf; ldd-chaining; 4; 1200; -1
Philosophers-PT-000050; otf-ldd-sat; 8; 0.13; 0
SwimmingPool-PT-01; otf-ldd-sat; 1; 0.41; 89621
CSRepetitions-PT-03-rf; ldd-chaining; 2; 9.376891; 134074721
GPPP-PT-C0100N0000000100; otf-ldd-sat; 2; 1200; -1
DES-PT-20b; otf-ldd-sat; 8; 49.22; 0
CircularTrains-PT-192; ldd-sat; 8; 2.996873; 42702305279429964521058874483262128981540864
SafeBus-PT-10; otf-ldd-sat; 8; 1200; -1
ParamProductionCell-PT-4-rf; mdd-sat; 1; 0.423708; 2409739
CircularTrains-PT-012; rf-otf-ldd-sat; 1; 0.03; 195
DLCshifumi-PT-3a; ldd-sat; 1; 4.544727; 909543680129861121854952418970697728
HypertorusGrid-PT-d2k2p1b00-rf; bdd-sat; 16; 0.093072; 51737129142
GPPP-PT-C0100N0000000010; bdd-sat; 8; 0.62381; 14184612091
QuasiCertifProtocol-PT-02-rf; bdd-sat; 4; 0.019922; 1029
RwMutex-PT-r0010w0050-rf; ldd-chaining; 2; 0.195584; 1074
PolyORBLF-PT-S06J06T06; rf-otf-ldd-sat; 1; 1200; -1
ResAllocation-PT-R005C002-rf; ldd-chaining; 1; 0.017331; 112
ResAllocation-PT-R003C010; ldd-chaining; 2; 0.032393; 823552
DNAwalker-PT-09ringLR; bdd-sat; 2; 0.137323; 28209796
SafeBus-PT-03; rf-otf-ldd-sat; 1; 0.41; 4650
Kanban-PT-0010; rf-otf-ldd-sat; 8; 0.34; 1005927208
ResAllocation-PT-R005C002; rf-otf-ldd-sat; 1; 0.01; 112
CloudDeployment-PT-2a; bdd-sat; 8; 0.03859; 4807
BridgeAndVehicles-PT-V50P20N20; otf-ldd-sat; 4; 1200; -1
SmallOperatingSystem-PT-MT0256DC0128-rf; bdd-sat; 16; 200.590547; 7890709281
DES-PT-00a; ldd-sat; 4; 0.199639; 24196956529
ERK-PT-000010-rf; ldd-par; 1; 0.186556; 47047
